match_id,num,eu_cp_id,eu_cp_name,home_win_odd0,draw_odd0,away_win_odd0,home_win_p0,draw_p0,away_win_p0,return_rate0,home_win_odd1,draw_odd1,away_win_odd1,home_win_p1,draw_p1,away_win_p1,return_rate1,kelly_home,kelly_draw,kelly_away,datestr,eu_cp_name_ex,flag1,flag2
2894738,1372,148300206,Powbet,1.58,3.8,5.66,59,24.53,16.47,93.22,1.46,4.5,7,65.23,21.16,13.61,95.24,0.92,1.00,1.03,"2025,12-1,23,10,15,00",Powbe*,0,0
2894738,1380,148452304,PowerPlay,1.58,3.79,5,57.71,24.06,18.24,91.18,1.5,4.25,6,62.39,22.02,15.6,93.58,0.95,0.94,0.88,"2025,12-1,23,19,58,00",PowerPla*,0,0
2894738,1343,148449992,prism,1.6,3.95,5.6,59.14,23.96,16.9,94.63,1.49,4.6,7,65.07,21.08,13.85,96.96,0.94,1.02,1.03,"2025,12-1,23,17,17,00",pris*(俄罗斯),0,0
2894738,1416,148472171,Rocketplay,1.5,4.1,6.3,62.35,22.81,14.84,93.52,1.51,4.2,6.4,62.68,22.53,14.79,94.64,0.95,0.93,0.94,"2025,12-1,23,19,53,00",Rocketpla*,0,0
2894738,1357,148472172,Roosterbet,1.5,4.1,6.3,62.35,22.81,14.84,93.52,1.51,4.2,6.4,62.68,22.53,14.79,94.64,0.95,0.93,0.94,"2025,12-1,23,19,52,00",Roosterbe*,0,0
2894738,30,148694035,Sazka,1.56,3.65,4.75,56.95,24.34,18.7,88.85,1.47,4.25,5.75,62.44,21.6,15.96,91.79,0.93,0.94,0.85,"2025,12-1,23,18,57,00",Sazk*(捷克),0,0
2894738,791,148653768,Sisal,1.5,4,6,61.54,23.08,15.38,92.31,1.5,4.25,6,62.39,22.02,15.6,93.58,0.95,0.94,0.88,"2025,12-1,23,19,41,00",Sisa*(意大利),0,0
2894738,1360,148693692,spinbetter,1.57,4,6,60.45,23.73,15.82,94.91,1.46,4.5,6.85,65.04,21.1,13.86,94.95,0.92,1.00,1.01,"2025,12-1,23,17,20,00",spinbette*,0,0
2894738,966,148691561,SportYes.it,1.55,4,5.6,60.09,23.28,16.63,93.13,1.5,4.2,5.9,62.06,22.16,15.78,93.09,0.95,0.93,0.87,"2025,12-1,23,18,57,00",Sport*.it,0,0
2894738,1278,148496816,SportPesa.it,1.51,4.1,5.8,61.4,22.61,15.99,92.72,1.46,4.3,7,64.6,21.93,13.47,94.31,0.92,0.95,1.03,"2025,12-1,23,16,38,00",SportP*.it,0,0
2894738,706,148482558,Sportsbet.com.au,1.47,4,6,62.02,22.79,15.19,91.16,1.44,4.2,6,63.18,21.66,15.16,90.97,0.91,0.93,0.88,"2025,12-1,23,19,41,00",Sports*.com.au(澳大利亚),0,0
2894738,1264,148482559,SportyBet,1.54,4.1,5.7,60.76,22.82,16.42,93.57,1.53,4.3,6.1,62.24,22.15,15.61,95.23,0.97,0.95,0.90,"2025,12-1,23,18,57,00",Sporty*,0,0
2894738,984,148499868,Spreadex,1.53,4,6,61.07,23.36,15.57,93.44,1.5,4.2,6,62.22,22.22,15.56,93.33,0.95,0.93,0.88,"2025,12-1,23,19,19,00",Sprea*,0,0
2894738,1367,148372098,Stake,1.58,4,5,58.45,23.09,18.47,92.34,1.51,4.1,5.8,61.4,22.61,15.99,92.72,0.95,0.91,0.85,"2025,12-1,23,18,58,00",Stak*,0,0
2894738,680,148677219,Stanleybet,1.53,4.1,5.8,61.09,22.8,16.11,93.47,1.47,4.5,6.4,64.25,20.99,14.76,94.45,0.93,1.00,0.94,"2025,12-1,23,18,57,00",Stanley*(马尔他),0,0
2894738,903,148842323,Stoiximan,1.53,4.2,6.4,62.37,22.72,14.91,95.43,1.53,3.65,8,62.1,26.03,11.88,95.01,0.97,0.81,1.18,"2025,12-1,23,19,41,00",Stoixi*(希腊),0,0
2894738,1322,148825538,Stoiximan.cy,1.57,4.15,5.7,60.47,22.88,16.66,94.94,1.53,4.15,6.5,62.34,22.98,14.67,95.38,0.97,0.92,0.96,"2025,12-1,23,20,00,00",Stoixima*(塞浦路斯),0,0
2894738,1046,148482560,Svenska Spel,1.55,4.4,6.5,62.86,22.15,14.99,97.44,1.56,4.2,6.75,62.4,23.18,14.42,97.35,0.98,0.93,0.99,"2025,12-1,23,19,41,00",Svenska S*,0,0
2894738,1269,148526337,Tab.co.nz,1.57,4,5.6,59.78,23.46,16.76,93.85,1.53,4.2,5.75,61.34,22.34,16.32,93.84,0.97,0.93,0.85,"2025,12-1,23,19,41,00",Ta*.co.nz,0,0
2894738,527,148482561,Tipico,1.52,4.2,6,61.91,22.41,15.68,94.1,1.45,4.5,6.7,64.99,20.94,14.07,94.24,0.92,1.00,0.99,"2025,12-1,23,19,41,00",Tip*(奥地利),0,0
2894738,145,148766003,Tipsport,1.6,3.85,5.57,58.73,24.41,16.87,93.96,1.51,4.2,5.98,62.03,22.3,15.66,93.67,0.95,0.93,0.88,"2025,12-1,23,19,41,00",Tipsp*(捷克),0,0
2894738,38,148648549,Tipsport-Sk,1.56,3.92,5.89,60.14,23.93,15.93,93.82,1.52,4.19,5.94,61.78,22.41,15.81,93.9,0.96,0.93,0.87,"2025,12-1,23,19,41,00",Tipsport*(斯洛伐克),0,0
